Key,Source,Context,English
perkASMiningToolsDesc,progression,Perk,"+1% Block Damage and Resource Gain\n+0.3% Stamina Reduction\nper level"
perkASConstructionToolsDesc,progression,Perk,"+1% Block Damage and Resource Gain\n+0.3% Stamina Reduction\nper level"
perkASBluntDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASBladedDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASElectricDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASJavelinDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASArcheryDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy and Reload Speed\nper level"
perkASPistolsDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASShotgunsDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASRiflesDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASAutomaticsDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASBrawlerDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASTurretDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
attactionskills,progression,Attribute,Action Skills
attActionSkillsDesc,progression,Attribute,Action Skills Will Level As You Use Them.
attActionSkillsName,progression,Attribute,Attribute: Action Skills
magazinePerkASPistols,progression,Perk,Pistol Action Skill 1 Point
magazinePerkASPistolsDesc,progression,Perk,Reading this will increase your Pistol action skill by 1 point
magazinePerkASShotguns,progression,Perk,Shotguns Action Skill 1 Point
magazinePerkASShotgunsDesc,progression,Perk,Reading this will increase your Shotguns action skill by 1 point
magazinePerkASAutomatics,progression,Perk,Automatics Action Skill 1 Point
magazinePerkASAutomaticsDesc,progression,Perk,Reading this will increase your Automatics action skill by 1 point
magazinePerkASRifles,progression,Perk,Rifles Action Skill 1 Point
magazinePerkASRiflesDesc,progression,Perk,Reading this will increase your Rifles action skill by 1 point
magazinePerkASArchery,progression,Perk,Archery Action Skill 1 Point
magazinePerkASArcheryDesc,progression,Perk,Reading this will increase your Archery action skill by 1 point
magazinePerkASBladed,progression,Perk,Bladed Action Skill 1 Point
magazinePerkASBladedDesc,progression,Perk,Reading this will increase your Bladed action skill by 1 point
magazinePerkASBlunt,progression,Perk,Blunt Action Skill 1 Point
magazinePerkASBluntDesc,progression,Perk,Reading this will increase your Blunt action skill by 1 point
magazinePerkASMiningTools,progression,Perk,Mining Tools Action Skill 1 Point
magazinePerkASMiningToolsDesc,progression,Perk,Reading this will increase your Mining Tools action skill by 1 point
magazinePerkASConstructionTools,progression,Perk,Construction Tools Action Skill 1 Point
magazinePerkASConstructionToolsDesc,progression,Perk,Reading this will increase your Construction Tools action skill by 1 point
magazinePerkASElectric,progression,Perk,Electric Action Skill 1 Point
magazinePerkASElectricDesc,progression,Perk,Reading this will increase your Electric action skill by 1 point
magazinePerkASTurret,progression,Perk,Turret Action Skill 1 Point
magazinePerkASTurretDesc,progression,Perk,Reading this will increase your Turret action skill by 1 point
magazinePerkASJavelin,progression,Perk,Javelin Action Skill 1 Point
magazinePerkASJavelinDesc,progression,Perk,Reading this will increase your Javelin action skill by 1 point
magazinePerkASBrawler,progression,Perk,Brawler Action Skill 1 Point
magazinePerkASBrawlerDesc,progression,Perk,Reading this will increase your Brawler action skill by 1 point
