Key,Source,Context,English
perkASMiningToolsDesc,progression,Perk,"+1% Block Damage and Resource Gain\n+0.3% Stamina Reduction\nper level"
perkASConstructionToolsDesc,progression,Perk,"+1% Block Damage and Resource Gain\n+0.3% Stamina Reduction\nper level"
perkASBluntDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASBladedDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASElectricDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASJavelinDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASArcheryDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy and Reload Speed\nper level"
perkASPistolsDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASShotgunsDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASRiflesDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASAutomaticsDesc,progression,Perk,"+0.3% Damage\n+0.5% Accuracy, Reload Speed, and Recoil Reduction\nper level"
perkASBrawlerDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
perkASTurretDesc,progression,Perk,"+0.3% Damage and Stamina Reduction\nper level"
attactionskills,progression,Attribute,Action Skills
attActionSkillsDesc,progression,Attribute,Action Skills Will Level As You Use Them.
attActionSkillsName,progression,Attribute,Attribute: Action Skills
magazinePerkASPistols,progression,Perk,Pistol Action Skill 1 Point
magazinePerkASPistolsDesc,progression,Perk,Reading this will increase your Pistol action skill by 1 point
magazinePerkASShotguns,progression,Perk,Shotguns Action Skill 1 Point
magazinePerkASShotgunsDesc,progression,Perk,Reading this will increase your Shotguns action skill by 1 point
magazinePerkASAutomatics,progression,Perk,Automatics Action Skill 1 Point
magazinePerkASAutomaticsDesc,progression,Perk,Reading this will increase your Automatics action skill by 1 point
magazinePerkASRifles,progression,Perk,Rifles Action Skill 1 Point
magazinePerkASRiflesDesc,progression,Perk,Reading this will increase your Rifles action skill by 1 point
magazinePerkASArchery,progression,Perk,Archery Action Skill 1 Point
magazinePerkASArcheryDesc,progression,Perk,Reading this will increase your Archery action skill by 1 point
magazinePerkASBladed,progression,Perk,Bladed Action Skill 1 Point
magazinePerkASBladedDesc,progression,Perk,Reading this will increase your Bladed action skill by 1 point
magazinePerkASBlunt,progression,Perk,Blunt Action Skill 1 Point
magazinePerkASBluntDesc,progression,Perk,Reading this will increase your Blunt action skill by 1 point
magazinePerkASMiningTools,progression,Perk,Mining Tools Action Skill 1 Point
magazinePerkASMiningToolsDesc,progression,Perk,Reading this will increase your Mining Tools action skill by 1 point
magazinePerkASConstructionTools,progression,Perk,Construction Tools Action Skill 1 Point
magazinePerkASConstructionToolsDesc,progression,Perk,Reading this will increase your Construction Tools action skill by 1 point
magazinePerkASElectric,progression,Perk,Electric Action Skill 1 Point
magazinePerkASElectricDesc,progression,Perk,Reading this will increase your Electric action skill by 1 point
magazinePerkASTurret,progression,Perk,Turret Action Skill 1 Point
magazinePerkASTurretDesc,progression,Perk,Reading this will increase your Turret action skill by 1 point
magazinePerkASJavelin,progression,Perk,Javelin Action Skill 1 Point
magazinePerkASJavelinDesc,progression,Perk,Reading this will increase your Javelin action skill by 1 point
magazinePerkASBrawler,progression,Perk,Brawler Action Skill 1 Point
magazinePerkASBrawlerDesc,progression,Perk,Reading this will increase your Brawler action skill by 1 point
perkArcheryRank1LongDesc,progression,perk Agi,"Many start on the path of the ranger but few can reach it. Deal 10% more damage, 10% faster aim, draw and reload with bows. Unlocks wooden bow and iron crossbow crafting."
perkArcheryRank2LongDesc,progression,perk Agi,"You still have much to learn, grasshopper. Deal 20% more damage, 20% faster aim, draw and reload with bows."
perkArcheryRank3LongDesc,progression,perk Agi,"All the rigorous training has turned you into a marksman with Bows. Deal 30% more damage, 30% faster aim, draw and reload with bows."
perkArcheryRank4LongDesc,progression,perk Agi,"You can split a hair you are so good at archery now. Deal 40% more damage, 40% faster aim, draw and reload with bows."
perkDeepCutsRank1LongDesc,progression,perk Agi,You might have a dull blade but you know how to use it. Deal 10% more damage. You can inflict up to 3 Bleeding Wounds on an enemy and a power attack inflicts 2. Every attack refreshes the duration on bleeding. Enemies run 10% slower while bleeding.\nUnlocks hunting knife crafting.
perkDeepCutsRank2LongDesc,progression,perk Agi,Your friends say you're a really knife guy. Deal 20% more damage. You can inflict up to 4 Bleeding Wounds on an enemy and a power attack inflicts 3.
perkDeepCutsRank3LongDesc,progression,perk Agi,You are a cut above the rest. Deal 30% more damage. You can inflict up to 5 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 40% chance to cause 1 Bleeding Wound. Enemies run 15% slower while bleeding.
perkDeepCutsRank4LongDesc,progression,perk Agi,You are quite lethal with bladed weapons. Deal 40% more damage. You can inflict up to 6 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 70% chance to cause 1 Bleeding Wound.
perkGunslingerRank1LongDesc,progression,perk Agi,"You're no Wyatt Earp but you're better than the average drifter. Deal 10% more damage, 5% faster fire rate, and 10% faster reload with handguns.\nUnlocks pistol crafting."
perkGunslingerRank2LongDesc,progression,perk Agi,"You are making a name for yourself, outlaw. Deal 20% more damage, 10% faster fire rate, and reload 15% faster with handguns."
perkGunslingerRank3LongDesc,progression,perk Agi,"You can keep most situations under control, sheriff. Deal 30% more damage, 15% faster fire rate, and reload 20% faster. Critical Damage: 5 successive hits in a short time cause critical damage."
perkGunslingerRank4LongDesc,progression,perk Agi,"You're now a gunfighter and can clear out a saloon full of rowdy bastards at the drop of a hat. Deal 40% more damage, 20% faster fire rate, and reload 25% faster. Critical Damage: 4 successive hits in a short time cause the last shot to do 100% extra damage."
perkLightArmorRank1LongDesc,progression,perk Agi,"You have started on the path of the lightly armored warrior. Reduce light armor movement penalty by 15% and stamina penalty by 10%. Improve durability by 50%.\nUnlocks leather armor crafting."
perkLightArmorRank2LongDesc,progression,perk Agi,"You've survived some battles and hope to be a knight one day. Reduce light armor movement penalty by 30% and stamina penalty by 20%. Improve durability by 100%."
perkLightArmorRank3LongDesc,progression,perk Agi,"All the hard training and battles have paid off, you are now a knight. Reduce light armor movement penalty by 50% and stamina penalty by 35%. Improve durability by 150%."
perkLightArmorRank4LongDesc,progression,perk Agi,"You have made a name for yourself and are feared by nearly all as you are now a gladiator. Reduce light armor movement penalty by 75% and stamina penalty by 50%. Improve durability by 200%."
perkBrawlerRank1LongDesc,progression,perk For,Tired of being bullied by the undead? Zombies can't bite if you knock their damn teeth out! Deal 10% more damage with fists. Punches to the head negate infection ability. Unlocks iron knuckles crafting.
perkBrawlerRank2LongDesc,progression,perk For,"You've been in a few fights and can hold your own. Deal 20% more damage with fists and have a 30% chance to stagger opponents with power attacks. "
perkBrawlerRank3LongDesc,progression,perk For,All the fighting and scrapping has added up and you are a real slugger now. Deal 30% more damage with fists. Power attacks to the head have a 20% chance to knock down your opponent.
perkBrawlerRank4LongDesc,progression,perk For,You are now good enough to compete in professional boxing but smashing zombies faces in will have to do. Deal 40% more damage with fists. Power attacks to the head have a 30% chance to knock down your opponent.
perkMachineGunnerRank1LongDesc,progression,perk For,"Spray and Pray is your thing. Deal 10% more damage, 5% faster fire rate and 10% faster reload.\nUnlocks Ak47 Crafting."
perkMachineGunnerRank2LongDesc,progression,perk For,"You are no commando, but you do what it takes to get the job done. Deal 20% more damage, 10% faster fire rate and 15% faster reload."
