Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
xuiWinchester,,XUi,Game Settings,KeyTrunk,Winchester,,,,,
goCityZombieMultiplier,,UI,Menu,KgNone,City Zombie Multiplier,,,,,
goCityZombieMultiplierDesc,,UI,Menu,KgNone,Multiplier for how many extra zeds to spawn in cites. For each POI X extra zombies will spawn i.e. if 2 POIs and multiplier is set to 5 it will spawn 10 zombies.,,,,,
goHeadShotOnly,,UI,Menu,KgNone,Head Shot Only,,,,,
goHeadShotOnlyDesc,,UI,Menu,KgNone,Only head shots do damage to zombies.,,,,,
goShowFetchItemOnCompass,,UI,Menu,KgNone,Show Fetch Items On Compass,,,,,
goShowFetchItemOnCompassDesc,,UI,Menu,KgNone,Show Fetch Items On Compass.,,,,,
goShowFetchDistanceIndicator,,UI,Menu,KgNone,Show Fetch Distance Indicator,,,,,
goShowFetchDistanceIndicatorDesc,,UI,Menu,KgNone,Show Fetch Distance Indicator.,,,,,
goZombieRage,,UI,Menu,KgNone,Zombie Rage,,,,,
goZombieRageDesc,,UI,Menu,KgNone,Zombie Rage.,,,,,
goZombieRageOn,,UI,Menu,KgNone,On,,,,,
goZombieRageOff,,UI,Menu,KgNone,Off,,,,,
goSightRange,,UI,Menu,KgNone,Zombie Sight Range,,,,,
goSightRangeDesc,,UI,Menu,KgNone,Add X metres to Zombie Sight Range.,,,,,
goSightRange0,,UI,Menu,KgNone,+0 Metres,,,,,
goSightRange25,,UI,Menu,KgNone,+25 Metres,,,,,
goSightRange50,,UI,Menu,KgNone,+50 Metres,,,,,
goSightRange75,,UI,Menu,KgNone,+75 Metres,,,,,
goSightRange100,,UI,Menu,KgNone,+100 Metres,,,,,
goSightRange150,,UI,Menu,KgNone,+150 Metres,,,,,
goSightRange200,,UI,Menu,KgNone,+200 Metres,,,,,
goWanderingHordeFrequency,,UI,Menu,KgNone,Wandering Horde Frequency,,,,,
goWanderingHordeFrequencyDesc,,UI,Menu,KgNone,Wandering Horde Frequency.,,,,,
goWanderingHordeFrequency1,,UI,Menu,KgNone,12 - 24 hrs,,,,,
goWanderingHordeFrequency2,,UI,Menu,KgNone,10 - 22 hrs,,,,,
goWanderingHordeFrequency3,,UI,Menu,KgNone,8 - 20 hrs,,,,,
goWanderingHordeFrequency4,,UI,Menu,KgNone,6 - 18 hrs,,,,,
goWanderingHordeFrequency5,,UI,Menu,KgNone,4 - 16 hrs,,,,,
goWanderingHordeFrequency6,,UI,Menu,KgNone,2 - 14 hrs,,,,,
goWanderingHordeMultiplier,,UI,Menu,KgNone,Wandering Horde Zombie Multiplier,,,,,
goWanderingHordeMultiplierDesc,,UI,Menu,KgNone,Increase the number of zombies that spawn per horde.,,,,,
goWanderingHordeMultiplier1,,UI,Menu,KgNone,1X,,,,,
goWanderingHordeMultiplier2,,UI,Menu,KgNone,2X,,,,,
goWanderingHordeMultiplier3,,UI,Menu,KgNone,3X,,,,,
goWanderingHordeMultiplier4,,UI,Menu,KgNone,4X,,,,,
goWanderingHordeMultiplier5,,UI,Menu,KgNone,5X,,,,,
goHeatMap,,UI,Menu,KgNone,Heat Map Level,,,,,
goHeatMapDesc,,UI,Menu,KgNone,Sets when the heat map will spawn a zombie screamer default value is 100. Higher values means screamers will spawn less often whilst a lower values will spawn screamers a lot more often!,,,,,
xuiOptionsVideoWinchester,,UI,XUi Video Options,newKey,Winchester,,,,,
xuiOptionsVideoShowCrosshair,,UI,XUi Video Options,newKey,Show Crosshair,,,,,
xuiOptionsVideoShowCrosshairTooltip,,UI,XUi Video Options,newKey,Show Crosshair.,,,,,
xuiOptionsVideoShowActivationText,,UI,XUi Video Options,newKey,Activation Text,,,,,
xuiOptionsVideoShowActivationTextTooltip,,UI,XUi Video Options,newKey,Activation Text.,,,,,
xuiOptionsVideoShowOnScreenSprites,,UI,XUi Video Options,newKey,Show On Screen Sprites,,,,,
xuiOptionsVideoShowShowOnScreenSpritesTooltip,,UI,XUi Video Options,newKey,Show On Screen Sprites.,,,,,
xuiOptionsVideoShowBuriedTreasureHelper,,UI,XUi Video Options,newKey,Show Buried Treasure Helper,,,,,
xuiOptionsVideoShowBuriedTreasureHelperTooltip,,UI,XUi Video Options,newKey,Show Buried Treasure Helper.,,,,,
xuiCrosshairColorFor,,UI,XUi Video Options,newKey,Crosshair Color,,,,,
xuiOptionsVideoZ2,,UI,XUi Video Options,newKey,Sirillion Z2 UI,,,,,
xuiZ2MainLineColor,,UI,XUi Video Options,newKey,Main Line Color,,,,,
xuiOptionsVideoZ2MainLineOpacity,,UI,XUi Video Options,newKey,Main Line Opacity,,,,,
xuiOptionsVideoZ2CompassWithLetters,,UI,XUi Video Options,newKey,Show Letters On Compass,,,,,
xuiDefaultZ2Settings,,UI,XUi Video Options,newKey,Reset Z2 Settings,,,,,
xuiZ2Warning,,UI,XUi Video Options,newKey,Note : Reloading the UI whilst the game is loaded takes around a 5 - 10 seconds once the Back button is pressed.,,,,,
goBiomeRespawnDelay,,UI,Menu,KgNone,Zombie Respawn Delay,,,,,
goBiomeRespawnDelayDesc,,UI,Menu,KgNone,This setting reduces the delay on biome zombies the lower the % the quicker the biome zombies will repsawn. The delay is a % chance i.e. if set to 30% the respawn of the zombies will be between 30% - 100% of the original respawn delay.,,,,,
xuiOptionsVideoShowZombieHealthBar,,UI,XUi Video Options,newKey,Show Zombie Health Bar,,,,,
xuiOptionsVideoShowXPPopUp,,UI,XUi Video Options,newKey,Show XP Pop Up,,,,,
xuiOptionsVideoShowElectricalWires,,UI,XUi Video Options,newKey,Show Electrical Wires,,,,,
